listing_url,price,town,bedrooms,bathrooms,area,floor,tenure,property_type,listing_id,address_from_url,postal_code,onemap_full_address,onemap_road_name,latitude,longitude,nearest_mrt,nearest_exit,nearest_mrt_distance_m,nearest_clinic_name,nearest_clinic_distance_m,nearest_park_name,nearest_park_distance_m,nearest_community_club_name,nearest_community_club_distance_m
https://www.propertyguru.com.sg/listing/hdb-for-sale-96-bedok-north-avenue-4-500043548,"S$ 725,000",Bedok,3,2.0,"1,324 sqft",High Floor,,HDB,500043548,96 Bedok North Avenue 4,460096.0,96 BEDOK NORTH AVENUE 4 SINGAPORE 460096,BEDOK NORTH AVENUE 4,1.33326478123569,103.940334868697,BEDOK RESERVOIR MRT STATION,Exit B,844.570377461659,kml_1114,169.8,JLN PARI DEDAP PG,357.4,Fengshan CC,308.2
https://www.propertyguru.com.sg/listing/hdb-for-sale-342-clementi-avenue-5-500066493,"S$ 798,000",Clementi,3,2.0,"1,302 sqft",10th floor,,HDB,500066493,342 Clementi Avenue 5,120342.0,342 CLEMENTI AVENUE 5 SINGAPORE 120342,CLEMENTI AVENUE 5,1.31836321447687,103.769846484274,CLEMENTI MRT STATION,Exit B,609.9364153497796,kml_221,112.6,CLEMENTI CRESCENT PG,644.4,Clementi CC,194.9
https://www.propertyguru.com.sg/listing/hdb-for-sale-24-hougang-avenue-3-500066281,"S$ 400,000",Clementi,2,2.0,721 sqft,,,HDB,500066281,24 Hougang Avenue 3,530024.0,24 HOUGANG AVENUE 3 SINGAPORE 530024,HOUGANG AVENUE 3,1.36551226123746,103.892085472745,HOUGANG MRT STATION,Exit A,523.7399083859167,kml_414,308.5,REALTY PARK,144.6,Hougang CC,102.6
https://www.propertyguru.com.sg/listing/hdb-for-sale-24-hougang-avenue-3-500066281,"S$ 400,000",Clementi,2,2.0,721 sqft,,,HDB,500066281,24 Hougang Avenue 3,530024.0,24 HOUGANG AVENUE 3 SINGAPORE 530024,HOUGANG AVENUE 3,1.36551226123746,103.892085472745,HOUGANG MRT STATION,Exit A,523.7399083859167,kml_934,308.5,REALTY PARK,144.6,Hougang CC,102.6
https://www.propertyguru.com.sg/listing/hdb-for-sale-43-bedok-south-road-500043474,"S$ 528,000",Bedok,3,1.0,904 sqft,,,HDB,500043474,43 Bedok South Road,460043.0,43 BEDOK SOUTH ROAD BEDOK SOUTH PARKVIEW SINGAPORE 460043,BEDOK SOUTH ROAD,1.32154128092741,103.94159328974,TANAH MERAH MRT STATION,Exit A,753.401895989205,kml_183,242.9,LUCKY GARDENS PG,209.9,Siglap CC,194.3
https://www.propertyguru.com.sg/listing/hdb-for-sale-425-canberra-road-25470637,"S$ 600,000",Choa Chu Kang,3,2.0,"1,184 sqft",High Floor,,HDB,25470637,425 Canberra Road,750425.0,425 CANBERRA ROAD SINGAPORE 750425,CANBERRA ROAD,1.4543786727951,103.818678117563,SEMBAWANG MRT STATION,Exit C,592.9416771794479,kml_1055,122.2,PARK AT SEMBAWANG ALLEY,600.8,Canberra CC,1036.0
https://www.propertyguru.com.sg/listing/hdb-for-sale-629-hougang-avenue-8-500083206,"S$ 430,000",Ang Mo Kio,2,2.0,689 sqft,High Floor,,HDB,500083206,629 Hougang Avenue 8,530629.0,629 HOUGANG AVENUE 8 SINGAPORE 530629,HOUGANG AVENUE 8,1.36995412441592,103.881217930961,KOVAN MRT STATION,Exit B,1151.836325751878,kml_795,164.1,PK VILLAS TERRACE PG,130.5,Ci Yuan CC,604.0
https://www.propertyguru.com.sg/listing/hdb-for-sale-93-whampoa-drive-500053006,"S$ 399,000",Clementi,3,1.0,700 sqft,High Floor,,HDB,500053006,93 Whampoa Drive,320093.0,93 WHAMPOA DRIVE WHAMPOA VIEW SINGAPORE 320093,WHAMPOA DRIVE,1.32227606663002,103.854799917943,BOON KENG MRT STATION,Exit A,783.1486077193131,kml_1175,115.1,PEK KIO PARK,839.8,Whampoa CC,356.5
https://www.propertyguru.com.sg/listing/hdb-for-sale-93-whampoa-drive-500053006,"S$ 399,000",Clementi,3,1.0,700 sqft,High Floor,,HDB,500053006,93 Whampoa Drive,320093.0,93 WHAMPOA DRIVE WHAMPOA VIEW SINGAPORE 320093,WHAMPOA DRIVE,1.32227606663002,103.854799917943,BOON KENG MRT STATION,Exit A,783.1486077193131,kml_1170,115.1,PEK KIO PARK,839.8,Whampoa CC,356.5
https://www.propertyguru.com.sg/listing/hdb-for-sale-337-ang-mo-kio-avenue-1-500006443,"S$ 578,888",Ang Mo Kio,3,2.0,979 sqft,High Floor,,HDB,500006443,337 Ang Mo Kio Avenue 1,560337.0,337 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560337,ANG MO KIO AVENUE 1,1.36319555672393,103.851616001112,ANG MO KIO MRT STATION,Exit A,721.5939930673986,kml_552,106.6,BISHAN-ANG MO KIO PARK (RIVER PLAINS),220.8,Teck Ghee CC,214.0
https://www.propertyguru.com.sg/listing/hdb-for-sale-663b-punggol-drive-500042674,"S$ 638,888",Clementi,3,2.0,969 sqft,HIGH FLOOR,,HDB,500042674,663B Punggol Drive,822663.0,663B PUNGGOL DRIVE WATERWAY SUNBEAM SINGAPORE 822663,PUNGGOL DRIVE,1.4007712264439,103.917348684837,KADALOOR LRT STATION,Exit A,151.19148120497096,kml_417,205.4,CONEY ISLAND PARK,790.8,Punggol 21 CC,902.5
